WIG20		MACD		EMA11		EMA25		SIGNAL
2257		0		0		0		0
2274		0		0		0		0
2320		0		0		0		0
2272		0		0		0		0
2248		0		0		0		0
2285		0		0		0		0
2321		0		0		0		0
2335		0		0		0		0
2353		0		0		0		0
2378		0		0		0		0
2354		0		0		0		0
2322		0		0		0		0
2359		0		0		0		0
2339		0		0		0		0
2330		0		0		0		0
2314		0		0		0		0
2334		0		0		0		0
2364		0		0		0		0
2421		0		0		0		0
2408		0		0		0		0
2406		0		0		0		0
2410		0		0		0		0
2405		0		0		0		0
2413		0		0		0		0
2408		0		0		0		0
2406		0		0		0		0
2423		27.0226		2406		2378.98		7.30408
2449		29.8576		2416.24		2386.39		13.5484
2431		29.5681		2420.67		2391.1		18.1534
2414		25.9547		2420.36		2394.4		20.6305
2382		17.8866		2412.68		2394.8		20.3075
2406		14.4887		2411.43		2396.94		19.1469
2441		15.7293		2417.44		2401.71		18.6117
2412		13.1575		2416.48		2403.33		17.5152
2505		21.3443		2434.38		2413.03		18.9057
2507		27.388		2449.27		2421.88		21.0337
2534		34.229		2466.94		2432.71		24.4212
2553		40.5086		2485.23		2444.72		28.6651
2566		45.9232		2502.49		2456.56		33.3849
2593		51.429		2521.53		2470.1		38.5767
2600		55.5519		2538.84		2483.29		43.6538
2589		56.5192		2551.11		2494.59		47.698
2621		60.4451		2568.11		2507.67		51.8445
2630		63.1891		2583.39		2520.2		55.5299
2620		63.023		2593.27		2530.24		58.1264
2601		60.1721		2598.07		2537.9		59.1643
2591		54.2726		2598.33		2544.06		58.2208
2600		49.8091		2600.31		2550.5		56.1967
2591		43.9792		2599.64		2555.66		52.9911
2542		33.0611		2588.96		2555.9		47.5522
2539		23.4897		2579.39		2555.9		40.8662
2534		14.605		2570.08		2555.47		33.3706
2511		4.9116		2557.74		2552.82		25.0731
2528		-0.422359		2551.23		2551.66		17.4116
2548		-3.23959		2549.33		2552.57		10.9619
2529		-8.05526		2543.82		2551.88		4.94264
2533		-11.6375		2540.29		2551.93		-0.449441
2463		-21.6462		2523.75		2545.4		-7.0805
2461		-28.8482		2510.01		2538.86		-13.7789
2461		-34.5359		2498.6		2533.13		-20.1457
2461		-37.4837		2489.42		2526.91		-25.5374
2480		-36.2803		2486.6		2522.88		-29.0591
2480		-34.5522		2484.34		2518.89		-31.125
2445		-36.2771		2475.58		2511.86		-33.0835
2445		-36.4249		2468.84		2505.26		-34.4947
2445		-35.9006		2463.01		2498.91		-35.3386
2463		-33.1419		2461.48		2494.62		-35.0227
2459		-30.658		2459.77		2490.43		-33.9682
2455		-28.3777		2457.5		2485.88		-32.4456
2466		-23.4931		2459.1		2482.59		-29.9236
2416		-24.7026		2450.45		2475.16		-28.3834
2434		-23.1612		2446.98		2470.14		-26.8466
2409		-24.2289		2439.14		2463.37		-25.9477
2413		-24.2237		2433.18		2457.4		-25.2691
2386		-26.661		2422.91		2449.57		-25.4295
